size_mm,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
2,0.624121451,0.224259942,0.311780507,0.153168677,0.295180192,0.229790726,1.050420168,0.358949815,0.410778837,0.838132898,0.336962157,0.597878496,1.986620718,0.152755046,0.42227156,0.9181532,0.203510557,1.282883243,1.005851347,0.594815341,0.577574188,0.951782781,0.246439314,0.400890869,1.003234921,0.604305678,0.286555447,0.664988056,0.15994555,0.49183553
1,0.978352544,0.632911392,0.19666155,0.66053992,0.431756102,0.430857612,1.334317511,0.355531246,0.349162011,0.71778561,0.648004147,0.366441659,1.165619299,0.043644299,0.609464107,0.944386149,0.432459934,0.329456397,1.576478553,1.26509233,0.318661621,0.922794473,1.127097452,0.765337113,1.064657467,0.268580301,0.157016683,0.790883853,0.197379615,0.744311102
0.5,1.579983132,2.402073159,0.676323868,0.914225541,2.189620231,1.153057037,2.356347945,1.011896622,0.858527769,1.022951947,3.132020045,2.357762777,2.922494763,1.483906165,2.024291498,2.841902763,1.818875604,1.607347876,3.854151555,2.63227983,2.441744672,3.526910813,1.250317109,1.959910913,3.361860694,1.775147929,1.668302257,33.4947382,1.670920538,2.239491114
0.25,19.10036548,24.02571514,28.06024559,24.3442466,24.86562693,43.79154698,25.10220304,48.41720224,51.52398948,43.46686151,50.31968205,51.65863067,80.54598284,55.94653573,69.92729964,73.93756558,69.53701348,53.93600559,14.29953093,14.71502131,16.41904003,14.26707894,12.16250498,13.4318688,19.30305884,19.68609677,14.5515211,10.52682549,11.64880041,12.6172208
0.125,26.84284509,44.31376458,28.52551804,23.84166188,21.05912415,20.58268363,39.18918919,26.32298646,26.70062438,27.82171409,27.92897875,26.62005786,4.801000068,31.83851609,21.24853076,15.7660021,22.82710082,34.51804523,16.90603994,38.65411932,35.1244772,42.04754083,6.153734643,9.333873254,30.02334057,34.18523648,31.67026497,29.03027955,46.45227157,42.97330973
0.063,36.49704807,26.46765673,37.62950883,39.86693471,40.26786501,32.84776364,28.59414036,21.96431013,18.93690437,23.20983409,16.30378434,15.94503375,7.334955065,9.410801964,5.058552087,4.791885275,4.282201306,7.073329007,46.74790851,26.82883523,29.11770564,25.93487293,53.22001957,55.26219883,41.02207117,39.00289563,48.68302257,21.74123572,37.0052748,37.1991606
<0.063,14.37728423,1.933619057,4.599961627,10.21922267,10.89082739,0.964300369,2.373381785,1.569123479,1.220013145,2.922719849,1.330568516,2.454194793,1.243327252,1.123840698,0.709590353,0.800104932,0.898838294,1.252932661,15.61003917,15.30983665,16.00079665,12.34901923,25.83988693,18.84592023,4.22177634,4.477737211,2.983316977,3.751049132,2.865407521,3.734671126
